Word,Frequency,Score
burly,102.0,2.922549019607842
stemming,470.0,3.036170212765958
requires,230.0,2.8152173913043472
balance,101.0,3.1118811881188124
fists,112.0,3.040178571428573
lies,109.0,2.5192660550458714
pumpy,189.0,3.2121693121693125
mantel,141.0,2.8787234042553194
sketchy,115.0,2.4965217391304346
detached,166.0,2.693373493975904
topout,77.0,2.7402597402597406
cleaning,149.0,2.444295302013424
longest,68.0,3.002941176470587
linked,218.0,2.8454128440366975
original,537.0,2.8867783985102413
heads,316.0,2.8044303797468357
discontinuous,105.0,2.580000000000001
ramps,58.0,2.567241379310345
late,78.0,2.8102564102564114
bold,69.0,2.898550724637681
light,104.0,2.713461538461538
rack,189.0,3.0619047619047617
odd,66.0,2.671212121212122
committing,220.0,2.9554545454545442
soft,134.0,2.4955223880597024
10a,309.0,2.9129449838187664
prevent,54.0,3.0129629629629626
now,626.0,2.689616613418528
ladder,177.0,2.777966101694916
maybe,445.0,2.630337078651685
sandy,191.0,2.5057591623036646
movement,149.0,2.978523489932887
exposure,478.0,2.956066945606691
even,438.0,2.774429223744293
skills,72.0,2.8472222222222223
cruxes,250.0,2.990800000000001
worthwhile,71.0,2.6718309859154927
onsight,53.0,3.1754716981132085
locate,188.0,2.7250000000000005
nearly,153.0,2.794117647058824
colored,53.0,2.7056603773584906
patina,122.0,3.040983606557377
type,51.0,2.7176470588235286
edges,363.0,2.8955922865013766
reachy,88.0,3.0090909090909093
horizontals,135.0,2.904444444444445
finally,172.0,2.895348837209302
diagonally,104.0,2.457692307692308
hold,281.0,2.8323843416370127
continuing,190.0,2.6694736842105264
narrows,92.0,2.802173913043479
rim,106.0,2.612264150943396
5th,396.0,2.6739898989898983
talus,93.0,2.6903225806451614
turn,317.0,2.6845425867507875
river,63.0,2.5873015873015874
fist,267.0,2.721722846441945
already,84.0,3.007142857142857
because,442.0,2.6703619909502256
years,229.0,2.6999999999999997
sight,63.0,2.847619047619048
quickly,147.0,2.9312925170068023
previous,119.0,2.8285714285714283
getting,472.0,2.7629237288135595
sparse,125.0,2.558400000000001
next,1354.0,2.773042836041364
year,82.0,2.817073170731707
still,547.0,2.6744058500914076
adventurous,114.0,2.548245614035088
stem,475.0,2.8189473684210506
knobby,62.0,2.6580645161290333
spire,247.0,2.741700404858301
order,66.0,2.6878787878787875
jugs,435.0,3.0413793103448263
remember,144.0,2.7048611111111116
eases,293.0,2.8389078498293494
grooves,96.0,2.8666666666666667
follows,649.0,2.7029275808936823
easiest,300.0,2.6023333333333314
keeping,66.0,2.562121212121212
pass,681.0,2.6801762114537437
stepping,181.0,2.8077348066298353
510ab,51.0,2.880392156862745
abseil,54.0,2.5407407407407407
slings,544.0,2.6713235294117634
spike,71.0,2.7873239436619714
diagonal,351.0,2.6695156695156688
moderate,667.0,2.6970014992503746
510c,404.0,2.9878712871287143
leftfacing,915.0,2.622513661202184
dont,876.0,2.77431506849315
camalots,111.0,3.0396396396396406
angled,134.0,2.658208955223882
perhaps,336.0,2.583928571428569
water,434.0,2.8168202764976953
course,57.0,2.8807017543859654
shares,139.0,2.6856115107913676
says,148.0,2.6972972972972973
something,157.0,2.6261146496815284
nature,120.0,2.673333333333332
slabby,389.0,2.8347043701799475
corners,318.0,2.7540880503144645
30ft,55.0,2.618181818181818
smooth,165.0,2.659393939393941
cave,441.0,2.8145124716553283
insecure,75.0,2.925333333333334
bulging,95.0,2.536842105263158
squeeze,356.0,2.6755617977528057
tight,198.0,2.885858585858584
main,810.0,2.635555555555554
everything,125.0,3.039200000000001
beginning,281.0,2.7427046263345183
wet,272.0,2.6018382352941174
case,94.0,2.7734042553191487
unless,136.0,2.6595588235294123
both,622.0,2.78762057877813
heading,330.0,2.7300000000000004
sweet,179.0,2.9094972067039118
meet,85.0,2.6552941176470584
rappels,498.0,2.825702811244982
did,611.0,2.602618657937804
gone,73.0,2.638356164383562
places,156.0,2.578205128205128
awesome,421.0,3.0971496437054626
however,341.0,2.7407624633431062
overhang,1157.0,2.626793431287812
stellar,175.0,3.1942857142857135
trend,399.0,2.779699248120299
headwall,847.0,2.679338842975208
chain,440.0,2.7963636363636373
sections,425.0,2.7501176470588238
cleaned,165.0,2.6939393939393947
multiple,122.0,2.8983606557377057
ascends,263.0,2.627376425855513
uphill,128.0,2.63203125
runouts,116.0,2.7396551724137925
rightmost,81.0,2.632098765432099
rightfacing,852.0,2.6487089201877927
didnt,239.0,2.6389121338912123
away,268.0,2.7432835820895516
slabs,550.0,2.4747272727272738
stand,158.0,2.7993670886075934
tip,55.0,3.0
tall,121.0,2.7322314049586773
swing,142.0,3.0204225352112677
careful,372.0,2.798118279569891
full,353.0,2.8696883852691215
lowest,91.0,2.6098901098901104
technical,473.0,3.0750528541226214
dike,397.0,2.803778337531485
reached,189.0,2.616931216931216
outside,156.0,2.4987179487179487
dead,213.0,2.5802816901408434
trip,56.0,2.398214285714286
forest,53.0,2.333962264150944
beautiful,728.0,3.057829670329668
stations,112.0,2.9062500000000004
known,82.0,2.710975609756098
ice,93.0,2.7010752688172053
missed,75.0,2.913333333333335
wandering,103.0,2.592233009708738
